                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95028,                 3.2595,                0.31702,                0.79235,                 1.1484,                0.85875,                0.78332,                0.88116,                0.65258,                0.80808,                0.69389,                0.73553,                0.41888,                0.92543,                  2.903,                0.31166,                 0.7348,                 1.1104,              0.0033261,              0.0033261,              0.0033261
                      2,                 1.0532,                 3.8498,                0.34199,                0.91315,                 1.2069,                0.82854,                0.73263,                0.83176,                 0.5787,                0.75669,                0.61427,                0.63786,                0.30728,                 1.0731,                 3.7037,                0.35344,                0.89173,                 1.2127,              0.0065935,              0.0065935,              0.0065935
                      3,                 1.1746,                 4.5409,                 0.3777,                 1.0692,                  1.284,                0.77921,                0.66844,                0.76187,                 0.4806,                0.69459,                0.52437,                0.52904,                0.20999,                 1.2734,                 4.5156,                0.38373,                 1.1224,                 1.3558,              0.0097949,              0.0097949,              0.0097949
                      4,                 1.2953,                 5.1628,                0.40742,                 1.2191,                 1.3641,                 0.7557,                0.65183,                0.74201,                0.46542,                0.67537,                0.48211,                0.47912,                0.17298,                 1.3145,                  4.753,                0.40186,                 1.1652,                 1.3858,               0.009703,               0.009703,               0.009703
                      5,                 1.3022,                 5.1755,                0.40904,                  1.243,                 1.3706,                0.77031,                0.66771,                0.75753,                0.47684,                0.64879,                0.49284,                0.47283,                0.17348,                 1.2874,                 4.7453,                0.39866,                 1.1661,                 1.3751,               0.009703,               0.009703,               0.009703
                      6,                  1.275,                 5.1023,                0.40672,                 1.2072,                 1.3536,                0.72472,                0.62567,                0.71587,                0.44818,                0.62121,                0.48737,                0.46941,                0.17748,                 1.2977,                 4.6878,                0.40155,                 1.3068,                 1.4006,               0.009604,               0.009604,               0.009604
                      7,                 1.2696,                 4.9828,                0.40396,                 1.1891,                 1.3486,                0.77409,                 0.6467,                0.74934,                0.47787,                0.69235,                0.50537,                0.51856,                0.21004,                 1.2615,                 4.5503,                0.40571,                 1.1492,                 1.3544,               0.009505,               0.009505,               0.009505
                      8,                 1.2498,                 4.9275,                0.40006,                 1.1643,                 1.3338,                0.80132,                0.68515,                0.78879,                0.51081,                0.72829,                0.52773,                0.54535,                0.22116,                 1.2179,                 4.3717,                0.38249,                 1.0656,                 1.3123,               0.009406,               0.009406,               0.009406
                      9,                 1.2352,                 4.8289,                0.40144,                 1.1478,                 1.3232,                0.78886,                0.68493,                 0.7827,                0.51638,                0.70171,                0.54696,                0.56263,                 0.2311,                 1.2047,                 4.2414,                0.38666,                 1.0618,                 1.3022,               0.009307,               0.009307,               0.009307
                     10,                 1.2327,                 4.8072,                0.39634,                 1.1455,                 1.3243,                0.77639,                0.69477,                0.78044,                0.51164,                0.69069,                0.54316,                0.55025,                0.23051,                 1.2171,                 4.3629,                0.39039,                 1.1111,                 1.3269,               0.009208,               0.009208,               0.009208
                     11,                 1.2073,                 4.7044,                0.39459,                  1.111,                 1.3048,                0.78774,                0.70349,                0.79522,                0.53205,                0.70761,                0.55367,                0.56593,                0.23943,                 1.1439,                 4.1657,                0.37689,                 1.0461,                 1.2723,               0.009109,               0.009109,               0.009109
                     12,                 1.2014,                 4.7137,                  0.394,                   1.12,                 1.3067,                 0.8048,                0.70483,                0.80385,                0.53882,                0.74392,                0.56753,                0.59172,                0.25685,                 1.1628,                 4.1122,                   0.38,                 1.0063,                 1.2831,                0.00901,                0.00901,                0.00901
                     13,                 1.1936,                 4.6292,                0.39059,                 1.0988,                 1.3011,                0.83444,                0.69656,                0.81226,                0.54457,                 0.7469,                 0.5774,                0.59914,                0.26456,                 1.1478,                 4.0218,                0.38164,                0.98098,                  1.268,               0.008911,               0.008911,               0.008911
                     14,                 1.1825,                 4.6205,                0.38966,                 1.0903,                 1.2943,                0.82146,                0.71815,                0.82071,                0.55042,                0.75657,                0.58386,                0.61219,                0.27497,                 1.1426,                 3.9702,                0.37148,                0.97763,                 1.2644,               0.008812,               0.008812,               0.008812
                     15,                 1.1679,                 4.5586,                0.38767,                 1.0763,                 1.2858,                0.79876,                0.71981,                0.81416,                0.54642,                0.73546,                0.58312,                0.60433,                0.26986,                 1.1372,                 3.9994,                0.37947,                0.97773,                 1.2571,               0.008713,               0.008713,               0.008713
                     16,                 1.1726,                 4.5393,                0.38862,                 1.0795,                 1.2897,                0.81306,                0.72182,                 0.8211,                0.55593,                0.77209,                0.58786,                0.62707,                0.28787,                 1.1277,                 3.9075,                0.36799,                0.95208,                 1.2605,               0.008614,               0.008614,               0.008614
                     17,                 1.1566,                 4.4539,                0.38425,                 1.0707,                 1.2807,                0.82576,                0.71747,                0.82091,                0.55839,                0.75366,                0.59727,                0.62334,                0.28335,                 1.1145,                 3.8559,                0.36608,                0.95859,                 1.2553,               0.008515,               0.008515,               0.008515
                     18,                 1.1536,                 4.4658,                 0.3837,                 1.0615,                   1.28,                 0.8245,                0.72383,                0.82588,                0.56791,                 0.7381,                0.60174,                0.62058,                 0.2846,                 1.1026,                 3.8471,                0.36665,                0.95177,                  1.235,               0.008416,               0.008416,               0.008416
                     19,                 1.1518,                 4.4417,                0.38335,                 1.0465,                 1.2752,                0.82012,                0.71266,                0.81541,                0.55969,                0.76856,                0.58292,                0.62325,                0.29024,                 1.0998,                 3.8587,                0.36673,                0.95404,                  1.242,               0.008317,               0.008317,               0.008317
                     20,                 1.1417,                 4.3468,                0.37952,                 1.0374,                 1.2702,                0.81932,                0.73278,                0.82906,                0.56987,                0.76049,                0.59074,                0.62809,                 0.2961,                 1.0907,                  3.807,                0.36498,                0.93302,                 1.2341,               0.008218,               0.008218,               0.008218
                     21,                 1.1363,                 4.3368,                0.38028,                 1.0374,                 1.2679,                0.83009,                0.71227,                0.82206,                0.56454,                0.75965,                 0.6085,                0.64132,                0.30839,                 1.0954,                 3.7294,                0.36502,                0.93016,                 1.2318,               0.008119,               0.008119,               0.008119
                     22,                 1.1302,                 4.3028,                0.37833,                 1.0296,                 1.2616,                0.82005,                0.73267,                0.83119,                0.57382,                0.75188,                0.62165,                0.64289,                0.30313,                 1.0865,                 3.7372,                0.36203,                0.91958,                 1.2297,                0.00802,                0.00802,                0.00802
                     23,                 1.1361,                 4.3111,                0.37693,                   1.03,                  1.261,                0.81973,                0.73144,                0.83255,                0.57411,                 0.7532,                0.60805,                 0.6418,                 0.3043,                 1.0945,                 3.7059,                 0.3603,                0.91962,                 1.2304,               0.007921,               0.007921,               0.007921
                     24,                 1.1202,                 4.2612,                0.37477,                 1.0182,                 1.2577,                0.83717,                0.72543,                0.83352,                0.57775,                0.76638,                0.62097,                0.65281,                0.32124,                 1.0813,                 3.6709,                  0.362,                0.91307,                 1.2215,               0.007822,               0.007822,               0.007822
                     25,                 1.1232,                 4.2294,                0.37617,                 1.0128,                 1.2628,                 0.8248,                0.73164,                0.83833,                0.58249,                0.77303,                0.61309,                0.64974,                0.30699,                 1.0786,                 3.6893,                0.36094,                0.89861,                 1.2166,               0.007723,               0.007723,               0.007723
                     26,                 1.1182,                 4.2335,                 0.3757,                 1.0121,                 1.2544,                 0.8242,                0.73699,                0.83624,                0.58119,                 0.7672,                 0.6168,                0.65585,                0.32146,                 1.0759,                 3.6289,                 0.3581,                0.90023,                 1.2185,               0.007624,               0.007624,               0.007624
                     27,                 1.1105,                 4.2221,                0.37343,                 1.0014,                 1.2496,                0.82804,                0.73457,                  0.834,                0.57939,                0.76479,                0.61076,                 0.6456,                0.31747,                 1.0718,                 3.6327,                0.36001,                0.90049,                 1.2155,               0.007525,               0.007525,               0.007525
                     28,                 1.1101,                 4.2235,                0.37292,                 1.0044,                 1.2509,                 0.8266,                0.73658,                0.83849,                0.58584,                0.76566,                0.61957,                0.65682,                0.32839,                 1.0707,                  3.592,                0.35922,                0.88178,                 1.2096,               0.007426,               0.007426,               0.007426
                     29,                 1.0981,                 4.1692,                0.37028,                0.98624,                 1.2367,                0.83109,                0.73825,                0.83871,                0.58827,                0.77283,                0.62433,                0.66729,                0.33694,                 1.0579,                 3.5432,                0.35399,                0.88492,                 1.2023,               0.007327,               0.007327,               0.007327
                     30,                 1.0969,                 4.1465,                0.36968,                0.97856,                 1.2383,                0.83616,                0.73952,                0.84103,                0.58888,                0.76569,                0.62842,                0.66876,                0.33218,                 1.0556,                 3.5494,                0.35397,                0.87654,                 1.2014,               0.007228,               0.007228,               0.007228
                     31,                 1.0983,                 4.0648,                0.36861,                0.97659,                 1.2391,                0.82037,                0.75165,                0.83936,                0.58815,                0.77964,                0.62522,                0.66611,                0.33319,                 1.0609,                 3.5398,                0.35362,                0.87191,                 1.2146,               0.007129,               0.007129,               0.007129
                     32,                 1.0975,                 4.1156,                0.36847,                0.98244,                 1.2385,                 0.8344,                0.72898,                0.83675,                0.59011,                0.76883,                0.62248,                0.66327,                0.32746,                  1.051,                 3.5777,                0.35269,                0.88839,                 1.2056,                0.00703,                0.00703,                0.00703
                     33,                 1.0918,                 4.0666,                0.36721,                0.96953,                 1.2431,                0.83652,                 0.7301,                0.84109,                0.59865,                0.77257,                0.63752,                0.66805,                0.34278,                 1.0358,                 3.4682,                0.35108,                0.86659,                 1.1939,               0.006931,               0.006931,               0.006931
                     34,                 1.0921,                 4.0731,                0.36692,                0.97622,                 1.2371,                0.82449,                0.74933,                0.84495,                0.59431,                0.76718,                0.63797,                0.67063,                0.34228,                 1.0405,                 3.4703,                0.34874,                0.85778,                 1.1966,               0.006832,               0.006832,               0.006832
                     35,                 1.0827,                 4.0052,                0.36503,                0.96024,                 1.2283,                0.82676,                 0.7453,                0.84589,                0.59799,                0.78047,                0.64393,                0.67825,                0.34547,                 1.0392,                 3.4372,                0.35185,                0.85214,                 1.1956,               0.006733,               0.006733,               0.006733
                     36,                 1.0795,                 4.0004,                 0.3644,                0.95502,                 1.2308,                0.82081,                0.75696,                0.84791,                0.60077,                 0.7753,                0.64039,                0.67972,                0.34905,                 1.0391,                  3.446,                0.34954,                0.84667,                 1.1972,               0.006634,               0.006634,               0.006634
                     37,                 1.0794,                 3.9957,                0.36269,                0.95516,                 1.2297,                0.82042,                0.75447,                0.84863,                0.59949,                0.76158,                0.64557,                0.67529,                0.35104,                 1.0265,                 3.4106,                0.34759,                0.84385,                 1.1861,               0.006535,               0.006535,               0.006535
                     38,                 1.0762,                 3.9884,                0.36393,                0.95026,                 1.2226,                0.83877,                0.75045,                0.85102,                0.60195,                 0.7744,                0.65322,                0.68734,                0.35837,                  1.024,                 3.4046,                0.34753,                0.83166,                 1.1818,               0.006436,               0.006436,               0.006436
                     39,                  1.072,                  3.943,                0.36101,                0.94109,                 1.2206,                0.82754,                0.74038,                 0.8445,                0.59875,                0.78075,                0.64378,                0.68187,                0.35711,                 1.0329,                 3.4145,                0.35093,                0.84296,                 1.1845,               0.006337,               0.006337,               0.006337
                     40,                 1.0724,                 3.9591,                 0.3625,                0.93725,                 1.2169,                0.83345,                 0.7424,                 0.8483,                0.60459,                0.79512,                0.64334,                0.69196,                0.36058,                 1.0265,                 3.3599,                 0.3457,                0.83394,                 1.1794,               0.006238,               0.006238,               0.006238
                     41,                 1.0664,                 3.9235,                0.35909,                0.93846,                 1.2213,                0.83029,                0.76252,                0.85361,                0.60951,                 0.7577,                 0.6496,                0.68545,                0.36608,                 1.0068,                 3.3664,                0.34474,                0.82751,                 1.1717,               0.006139,               0.006139,               0.006139
                     42,                 1.0651,                  3.936,                0.36093,                0.93786,                 1.2186,                0.82957,                0.75783,                0.85271,                0.60487,                0.77384,                0.65648,                0.68964,                0.36256,                  1.018,                 3.3194,                0.34419,                0.82468,                 1.1832,                0.00604,                0.00604,                0.00604
                     43,                 1.0589,                 3.9072,                0.36076,                0.92702,                  1.214,                0.82811,                0.75738,                0.85389,                0.61384,                0.78124,                0.65944,                0.69671,                0.37335,                 1.0023,                 3.2982,                0.34375,                0.81818,                 1.1674,               0.005941,               0.005941,               0.005941
                     44,                 1.0513,                 3.8821,                0.35568,                0.92376,                 1.2117,                0.81411,                0.76342,                0.85294,                0.61231,                 0.7833,                0.64915,                0.69288,                0.36853,                 1.0063,                 3.2817,                0.34189,                0.82389,                 1.1684,               0.005842,               0.005842,               0.005842
                     45,                 1.0542,                 3.8507,                0.35798,                0.91881,                 1.2135,                0.84759,                0.75157,                0.85706,                0.61335,                0.79628,                0.65379,                0.69818,                0.37511,                 1.0017,                 3.2858,                 0.3422,                0.81076,                 1.1657,               0.005743,               0.005743,               0.005743
                     46,                 1.0476,                  3.848,                0.35669,                0.91423,                  1.206,                0.83749,                0.75559,                0.85482,                0.61434,                0.80032,                0.65944,                0.70167,                0.37717,                 1.0056,                 3.2768,                0.34044,                0.81047,                 1.1704,               0.005644,               0.005644,               0.005644
                     47,                 1.0519,                 3.8413,                0.35611,                0.91275,                 1.2101,                 0.8335,                0.76343,                0.86021,                0.61939,                0.80061,                0.65725,                0.70949,                0.38403,                0.99817,                 3.2394,                0.34067,                0.80746,                 1.1646,               0.005545,               0.005545,               0.005545
                     48,                  1.051,                 3.8333,                 0.3565,                0.92071,                 1.2105,                0.84052,                0.75693,                0.85601,                0.61174,                0.78349,                0.66816,                0.70431,                0.37975,                 1.0047,                 3.2459,                0.34209,                0.81859,                 1.1721,               0.005446,               0.005446,               0.005446
                     49,                  1.039,                  3.798,                0.35145,                0.90696,                  1.204,                 0.8326,                 0.7623,                0.85861,                0.61846,                0.78606,                0.65645,                0.70171,                0.38144,                0.99991,                 3.2375,                0.33869,                0.79833,                 1.1709,               0.005347,               0.005347,               0.005347
                     50,                 1.0354,                 3.7816,                0.34988,                0.90276,                 1.1982,                0.83419,                0.76387,                0.85667,                0.61778,                0.78955,                 0.6661,                0.70349,                0.38173,                 1.0021,                 3.2218,                 0.3394,                 0.8001,                 1.1655,               0.005248,               0.005248,               0.005248
